"","pathway","pval","padj","log2err","ES","NES","size"
"401","GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL",0.371340523882897,0.62871009945833,0.0810802057550866,-0.290485477708788,-1.0577284944246,41
"402","GO_INTERLEUKIN_17_PRODUCTION",0.375314861460957,0.631371900028616,0.109250039480711,0.295068162149623,1.04471325600701,25
"403","GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",0.384615384615385,0.640270677813036,0.0751181635276301,-0.241158897728821,-1.04033164560685,100
"404","GO_CYTOKINE_RECEPTOR_BINDING",0.396296296296296,0.650867796047168,0.132147260608774,0.197070192571833,1.02287884461001,177
"405","GO_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",0.397009966777409,0.651726782343897,0.0815265143256594,-0.342772264516829,-1.04944639779088,19
"406","GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE",0.398305084745763,0.652182443568226,0.0824344091527096,-0.370755961689921,-1.05341761993137,15
"407","GO_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY",0.397905759162304,0.652182443568226,0.107972360317345,0.275041376745582,1.03914986427224,31
"408","GO_NEGATIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION",0.403083700440529,0.656026558961692,0.0965629554309422,0.47288838449851,1.05097267751227,6
"409","GO_REGULATION_OF_TISSUE_REMODELING",0.404580152671756,0.657522894714557,0.0760837160951725,-0.261369064143789,-1.02988879941762,62
"410","GO_NEGATIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",0.407751937984496,0.659876958525108,0.0764767053228531,-0.279450680046324,-1.02691427089407,43
"411","GO_REGULATION_OF_MYOBLAST_FUSION",0.410194174757282,0.662134623348957,0.101350743797099,0.329922574901478,1.02324028017024,16
"412","GO_VIRAL_GENE_EXPRESSION",0.41231593038822,0.664096099596543,0.0684714904492087,-0.218214602418599,-1.01952789146451,192
"413","GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY",0.412621359223301,0.664170779914449,0.100990587455923,0.320301245967674,1.01647631689338,17
"414","GO_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY",0.413690476190476,0.665160839343577,0.11378726182188,0.240477524738282,1.02009960383913,54
"415","GO_LEUKOCYTE_AGGREGATION",0.416666666666667,0.668374263517389,0.0813027345384498,-0.376063506359778,-1.03790453004127,14
"416","GO_NEGATIVE_REGULATION_OF_RELAXATION_OF_MUSCLE",0.417670682730924,0.669377367424242,0.0891647117820678,-0.698261210615767,-1.05363136524179,2
"417","GO_HORMONE_ACTIVITY",0.4203125,0.671409145850121,0.0753093764172773,-0.296011008627664,-1.03198433688652,34
"418","GO_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION",0.426446280991736,0.677505463493538,0.0774767547848578,-0.326350294830968,-1.02316615683443,21
"419","GO_PROGESTERONE_BIOSYNTHETIC_PROCESS",0.428571428571429,0.678229432393529,0.0919686140000427,0.500583706170099,1.03605691717209,5
"420","GO_PLATELET_ALPHA_GRANULE_LUMEN",0.429878048780488,0.679574439686126,0.112843355675562,0.246157553505741,1.02310725635865,49
"421","GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN",0.430730478589421,0.679882556517927,0.100633389423036,0.303551141366043,1.01604058101728,21
"422","GO_NEGATIVE_REGULATION_OF_CELL_KILLING",0.432762836185819,0.681927302563856,0.0985499803531691,0.308183564538695,0.998355389381727,18
"423","GO_RESPONSE_TO_VIRUS",0.433333333333333,0.682511646956433,0.144630528034484,0.180221434426005,0.999752434633741,287
"424","GO_CYTOSOLIC_RIBOSOME",0.437768240343348,0.685705407777765,0.0687943095604775,-0.233579520309786,-1.00832331836168,102
"425","GO_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",0.43859649122807,0.686373724636633,0.120985142145252,0.207318624966789,1.0087699774549,123
"426","GO_RESPONSE_TO_INTERFERON_BETA",0.438961038961039,0.686839404111299,0.101350743797099,0.284535479326242,1.00560790024809,26
"427","GO_NEGATIVE_REGULATION_OF_CHEMOTAXIS",0.441087613293051,0.688590877503462,0.0711327399327894,-0.267294299635736,-1.01402195566916,51
"428","GO_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE",0.446735395189003,0.693081917952077,0.118287526124085,0.198560404929278,1.00011213582967,144
"429","GO_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION",0.447592067988669,0.693950244302712,0.105520936843198,0.248944062214618,0.996951141674996,42
"430","GO_RECEPTOR_MEDIATED_ENDOCYTOSIS",0.451697127937337,0.697298516784192,0.0628003977812234,-0.210493880061858,-1.00458135878961,220
"431","GO_INNER_EAR_MORPHOGENESIS",0.457703927492447,0.702237249616255,0.0692836467392548,-0.246343417015945,-1.00167970829555,72
"432","GO_SYNCYTIUM_FORMATION",0.462480857580398,0.705975170361266,0.0694481442003175,-0.273645296261551,-0.987225897827696,39
"433","GO_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION",0.462809917355372,0.706372332561295,0.0732558655828455,-0.311209539909474,-1.00884577481767,25
"434","GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY",0.466453674121406,0.709926154365541,0.110564716336619,0.207201320035684,1.00245624020254,112
"435","GO_HEMOGLOBIN_ALPHA_BINDING",0.472945891783567,0.716298939630849,0.0822054920415869,0.761030132688411,1.01987576197633,1
"436","GO_MULTI_MULTICELLULAR_ORGANISM_PROCESS",0.477551020408163,0.720189075630252,0.0621124188949471,-0.21654025545983,-0.994951264449909,163
"437","GO_NATURAL_KILLER_CELL_LECTIN_LIKE_RECEPTOR_BINDING",0.477272727272727,0.720189075630252,0.0886261133285098,0.40228240074502,0.985627890129503,8
"438","GO_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS",0.489038785834739,0.728091281755988,0.0714786287425507,-0.321374302452839,-0.970614342426367,18
"439","GO_INTERLEUKIN_2_PRODUCTION",0.497058823529412,0.73353550659003,0.101350743797099,0.235554140602911,0.985912070955666,50
"440","GO_GERMINAL_CENTER_FORMATION",0.498305084745763,0.733815856427495,0.0707899094502623,-0.343535901234383,-0.976078091340211,15
"441","GO_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION",0.501515151515151,0.736580898918097,0.0649407684612899,-0.252575287197236,-0.983669601838552,58
"442","GO_LEUKOCYTE_CHEMOTAXIS",0.503703703703704,0.736978382291551,0.115240003147781,0.190305981872453,0.987769689163486,177
"443","GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_IRON_SULFUR_PROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN",0.503968253968254,0.737155105469183,0.0782955249944794,0.641140815755259,1.00765466051158,2
"444","GO_POSITIVE_REGULATION_OF_CELL_KILLING",0.509803921568627,0.741671047763693,0.096887770327544,0.237757897240904,0.959582279357411,43
"445","GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0.522346368715084,0.752763070710116,0.0590954798717342,-0.2163034308119,-0.973025751743287,138
"446","GO_NEGATIVE_REGULATION_OF_T_CELL_DIFFERENTIATION",0.529411764705882,0.759635881776805,0.0946646223153342,0.249306449664476,0.968328210811326,37
"447","GO_REGULATION_OF_CELL_KILLING",0.53134328358209,0.761448487022684,0.0982123351217438,0.222009650760078,0.963581120335567,64
"448","GO_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY",0.539149888143177,0.766636453536922,0.0810802057550866,0.390013789413854,0.92947351662489,7
"449","GO_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",0.541076487252125,0.768310630956873,0.0940503465727813,0.239747644268913,0.950633782539854,41
"450","GO_LYMPHOCYTE_DIFFERENTIATION",0.557213930348259,0.778033614123175,0.0507027937029348,-0.195912149850457,-0.967048547680907,310
"451","GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE",0.559270516717325,0.779302510954018,0.096240602328129,0.205795445894295,0.96190269810226,90
"452","GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_BINDING",0.561032863849765,0.780332567310368,0.0815265143256594,0.300068956967625,0.906677433343956,14
"453","GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION",0.563380281690141,0.782113812064257,0.0813027345384498,0.298882804926096,0.903093399529071,14
"454","GO_REGULATION_OF_LENS_FIBER_CELL_DIFFERENTIATION",0.564056939501779,0.782113812064257,0.0670512579829467,-0.379939482475077,-0.910464268829228,8
"455","GO_REGULATION_OF_NATURAL_KILLER_CELL_DIFFERENTIATION",0.56794425087108,0.785741102816771,0.0656813601934011,-0.362604510143173,-0.921936283779296,10
"456","GO_REGULATION_OF_B_CELL_ACTIVATION",0.568740955137482,0.786360859503152,0.0567672387487446,-0.217575118549445,-0.947594449667925,111
"457","GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT",0.571678321678322,0.788748035913278,0.0655321029282414,-0.360740048184173,-0.896183829727636,9
"458","GO_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0.572192513368984,0.789217784075176,0.052805004567129,-0.203015240509182,-0.953991609457752,201
"459","GO_LEUKOCYTE_DIFFERENTIATION",0.572748267898383,0.789636868963003,0.0460457683018055,-0.190227272938609,-0.970712771326512,453
"460","GO_NEGATIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",0.573643410852713,0.790156236171199,0.0855356947987884,0.247687882729873,0.928641614391409,30
"461","GO_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",0.574202496532594,0.790539064330256,0.0543434390269162,-0.208815169812468,-0.95231270073909,157
"462","GO_MACROPHAGE_MIGRATION",0.576219512195122,0.792321144752075,0.0946646223153342,0.226953963250824,0.943291170042673,49
"463","GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION",0.577259475218659,0.793006820946731,0.0919686140000427,0.212759293870644,0.952240164000525,71
"464","GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION",0.57909604519774,0.793960258894852,0.0899860794997137,0.204127432384522,0.949824135937224,82
"465","GO_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION",0.581863979848867,0.796110413202533,0.0833634065110386,0.272081303064071,0.910705339486104,21
"466","GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS",0.582840236686391,0.796724423782849,0.0922597260527354,0.209812770964666,0.94629493885372,77
"467","GO_EPITHELIAL_CELL_APOPTOTIC_PROCESS",0.594353640416048,0.804527004021458,0.0559428593065705,-0.220450908732393,-0.930780075521253,90
"468","GO_PEPTIDYL_PROLINE_HYDROXYLATION",0.594660194174757,0.804623339657229,0.0802023444698144,0.289508381379847,0.897897445675582,16
"469","GO_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION",0.594813614262561,0.804724751221974,0.059989249649033,-0.277918151625343,-0.910720604869969,26
"470","GO_GASTRIC_EMPTYING",0.595330739299611,0.805318128415448,0.0687943095604775,-0.53994309445748,-0.930465495477837,3
"471","GO_NATURAL_KILLER_CELL_PROLIFERATION",0.595454545454545,0.805379367401261,0.0766746872490091,0.362538586436894,0.888251987605134,8
"472","GO_CELL_FATE_DETERMINATION",0.602218700475436,0.809794907225354,0.0583452776743612,-0.273522828237653,-0.906004559546647,27
"473","GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT",0.603746397694525,0.810914566643256,0.05378728077603,-0.214804213998464,-0.9213016763905,95
"474","GO_PROTECTION_FROM_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.603896103896104,0.810914566643256,0.0734381410838857,0.429535571970593,0.889008761224807,5
"475","GO_POSITIVE_REGULATION_OF_MONOCYTE_DIFFERENTIATION",0.606271777003484,0.813146360603025,0.0625237414724762,-0.354379176373621,-0.901023047908757,10
"476","GO_CYTOKINE_RECEPTOR_ACTIVITY",0.606508875739645,0.813251637122131,0.0899860794997137,0.207377746596634,0.935312522364678,77
"477","GO_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION",0.607963246554365,0.814267652845811,0.0562940749700968,-0.247586022935946,-0.914989396263078,46
"478","GO_RESPONSE_TO_TYPE_I_INTERFERON",0.610169491525424,0.815813316244227,0.0870515867946735,0.201638481541969,0.938242813643584,82
"479","GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE",0.613636363636364,0.818421239314724,0.0946646223153342,0.199790908070801,0.936594801146204,96
"480","GO_POSITIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION",0.624784853700516,0.825395641161859,0.0605092988656667,-0.320203132923802,-0.878584691754072,13
"481","GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN",0.62557781201849,0.82596890205351,0.0552495663125249,-0.245367579061578,-0.900098313334222,42
"482","GO_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS",0.626262626262626,0.826553826553827,0.0593487680335629,-0.281289278095412,-0.884209564499726,22
"483","GO_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM",0.63109756097561,0.829306187571102,0.0894366833718621,0.222538394599464,0.924938695118313,49
"484","GO_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",0.635014836795252,0.830756380925245,0.0875697115548511,0.198511751497742,0.923830330278585,87
