gene,TUNG2_81s_1,TUNG2_95s_3,TUNG3_81s_2,TUNG3_95s_4,TUNG4_81s_3,TUNG4_95s_4,TUNG6_81s_4,TUNG6_95s_5,TUNG7_81s_5,TUNG7_95s_5
AADACL3|126767,0,0,0,2.5063,319.6636,359.375,0,0,0,4.1929
AADACL4|343066,0,0,0,0,0,0,0,0,0,0
AADAC|13,0,0,2.3641,1.2531,2.8799,0,0,1.9194,0,2.0964
AADAT|51166,62.635,70.1754,4.7281,7.5188,25.9187,14.2045,4,3.8388,11.3749,18.8679
AAGAB|79719,1006.4795,1118.4211,1765.9574,1784.4612,394.5398,355.1136,504,527.8311,1732.7835,1465.4088
AAK1|22848,479.4816,548.2456,354.6099,344.6115,1370.8098,1575.2841,1616,1723.6084,314.7069,259.9581
AAMP|14,1403.8877,1750,1011.8203,1289.4737,1543.601,1755.6818,1804,2051.8234,1812.4082,2129.979
AANAT|15,0,0,0,1.2531,2.8799,9.9432,0,0,3.7916,4.1929
AARS2|57505,101.5119,144.7368,148.9362,137.8446,284.2702,327.8267,511.2,562.2649,87.2079,111.1111
AARSD1|80755,671.7063,789.4737,177.305,209.2732,184.3106,248.5795,228,236.0845,462.5812,452.8302
AARS|16,2555.0756,3157.8947,1144.208,1249.3734,2997.9265,3137.7841,3488,3923.2246,1220.9109,1312.369
AASDHPPT|60496,946.0043,1074.5614,1087.4704,1040.1003,385.9002,323.8636,404,358.9251,709.0383,672.956
AASDH|132949,231.1015,236.8421,146.5721,127.8195,54.7172,53.9773,92,72.9367,125.1244,98.5325
AASS|10157,82.0734,127.193,21.2766,41.3534,97.915,89.4886,160,201.5355,22.7499,18.8679
AATF|26574,937.365,1059.2105,855.792,933.584,2897.1317,3201.7045,2328,2520.1536,1114.7448,991.6143
AATK|9625,4.3197,4.386,28.4161,43.8596,146.8725,153.4659,148,168.906,15.1666,20.9853
ABAT|18,38.8769,30.7018,0,10.0251,77.756,79.5455,164,147.7927,53.0831,64.9895
ABCA10|10349,0,4.386,14.1844,10.0251,40.3179,45.4545,8,0,3.7916,4.1929
ABCA11P|79963,73.4989,99.1667,136.4775,122.9449,22.722,37.3722,63.12,45.3359,96.8766,101.1321
ABCA12|26154,75.594,59.2105,855.792,838.3459,691.1646,649.1477,184,168.906,363.9983,314.4654
ABCA13|154664,6.4795,19.7368,75.6501,70.1754,25.9187,36.9318,664,671.785,56.8747,27.2537
ABCA17P|650655,28.0778,26.3158,139.4799,124.0602,0,0,0,0,0,0
ABCA1|19,550.7559,717.1053,184.3972,189.2231,1045.3865,997.0881,224,199.5393,276.7904,188.6792
ABCA2|20,172.7862,256.5789,924.3499,1147.8697,1445.686,1629.2614,1116,1573.8964,144.0827,127.8826
ABCA3|21,41.0367,46.0526,70.922,85.213,141.1128,178.9773,92,99.8081,60.6664,39.8323
ABCA4|24,8.6393,6.5789,26.0047,18.797,14.3993,18.4659,8,3.8388,60.6664,54.5073
ABCA5|23461,28.0778,35.0877,104.0189,97.7444,115.1941,136.3636,176,172.7447,49.2914,18.8679
