gene,TUNG2_81s_1,TUNG2_95s_3,TUNG3_81s_2,TUNG3_95s_4,TUNG4_81s_3,TUNG4_95s_4,TUNG6_81s_4,TUNG6_95s_5,TUNG7_81s_5,TUNG7_95s_5
CETN3|1070,375.8099,414.4737,345.1537,280.7018,28.7985,22.7273,28,30.7102,257.8321,270.4403
CETN4P|729338,0,2.193,2.3641,0,0,0,0,0,3.7916,2.0964
CETP|1071,73.4341,70.1754,14.1844,23.8095,14.3993,4.2614,16,9.5969,109.9578,56.6038
CFB|629,685.7883,796.0526,232.3877,229.3233,1860.3847,1853.6932,712,650.6718,2980.236,2962.2642
CFC1B|653275,0,0,0,0,0,0,0,0,0,0
CFDP1|10428,1177.1058,1296.0526,295.5083,274.4361,204.4695,252.8409,388,314.7793,553.5807,570.2306
CFD|1675,112.311,212.7193,5111.1111,6744.3609,362.8614,311.0795,160,245.6814,678.7052,1186.5828
CFHR1|3078,5.3564,0,0,0,0,1.5625,0,0,0,0
CFHR2|3080,0,0,0,0,0,0,0,0,0,0
CFHR3|10878,15.1188,10.9649,2.3641,1.2531,0,2.8409,0,0,0,4.1929
CFHR4|10877,0,0,0,0,0,0,0,1.9194,0,0
CFHR5|81494,0,0,0,0,0,0,0,0,0,0
CFH|3075,2869.3737,3401.3158,914.8936,818.2957,956.111,994.1761,1376,1143.9539,1960.2825,1561.8449
CFI|3426,555.0756,618.4211,23.6407,18.797,63.3568,52.5568,80,76.7754,280.582,203.3543
CFL1|1072,88060.4752,110548.2456,29749.409,34576.4411,33472.5262,40017.0455,32476,37930.9021,43054.1732,52855.3459
CFL2|1073,710.5832,822.3684,222.2222,215.5388,483.8152,495.7386,148,132.4376,784.8713,584.9057
CFLAR|8837,678.1857,730.2632,1312.0567,1269.4236,1917.9818,2031.2358,388,431.8618,2638.9876,2251.5723
CFLP1|142913,0,0,0,0,2.8799,0,0,1.9194,0,0
CFP|5199,4.3197,10.9649,11.8203,21.3033,89.2754,120.7386,12,11.5163,212.3323,236.8973
CFTR|1080,0,2.193,0,1.2531,0,0,0,0,0,0
CG030|116828,6.4795,4.386,4.7281,1.2531,43.1978,26.9886,4,3.8388,3.7916,0
CGA|1081,0,0,0,0,0,0,0,0,0,0
CGB1|114335,0,0,0,0,0,0,0,0,54.6377,0
CGB2|114336,16.9762,0,1.1111,2.5439,0,0,15.72,0,8.152,0
CGB5|93659,698.4881,1837.8947,3.9007,1.8797,0,0,0,0,22.712,11.3208
CGB7|94027,72.6998,121.5789,36.7139,22.193,247.3217,241.0653,155.28,150.7869,8.1141,33.0818
CGB8|94115,674.4708,126.1184,3.9007,13.5965,12.5562,50.3693,0,98.8292,69.463,111.9706
CGB|1082,17.0194,35.0219,0,0,40.6635,0,0,0,0,0
CGGBP1|8545,1717.0626,2054.8246,1342.8369,1233.0952,610.5287,633.5227,584,520.1536,1031.3285,876.3103
CGNL1|84952,97.1922,83.3333,2.3641,6.2657,89.2754,61.0795,24,9.5969,15.1666,37.7358
CGN|57530,10.7991,0,14.1844,22.5564,155.512,157.6705,20,23.0326,45.4998,25.1572
CGREF1|10669,32.3974,61.4035,2.3641,1.2531,37.4381,42.0455,8,8.1574,11.7541,6.7296
CGRRF1|10668,269.9784,331.1404,229.3144,204.2607,25.9187,21.3068,36,11.5163,303.3319,259.9581
CH25H|9023,157.6674,164.4737,18.9125,23.8095,109.4344,89.4886,336,362.7639,45.4998,54.5073
CHAC1|79094,149.0281,190.7895,524.8227,489.9749,259.1867,217.3295,420,441.4587,428.4563,542.9769
CHAC2|494143,73.4341,50.4386,153.6643,127.8195,23.0388,22.7273,20,5.7582,181.9991,138.3648
CHADL|150356,30.2376,24.2105,80.5674,136.5915,43.2554,36.9744,84.32,92.1497,41.784,58.7002
CHAD|1101,0,0,2.3641,2.5063,25.9187,49.7159,12,7.6775,0,0
CHAF1A|10036,276.4579,267.5439,113.4752,145.3634,532.7727,612.2159,1900,1953.9347,261.6238,259.9581
CHAF1B|8208,298.0562,348.6842,141.844,150.3759,282.2256,285.5114,428,404.9904,200.9574,190.7757
CHAT|1103,0,0,2.3641,3.7594,0,0,0,5.7582,0,0
CHCHD10|400916,578.8337,927.6316,56.7376,129.0727,575.9705,990.0568,196,510.5566,534.6225,918.239
CHCHD1|118487,1218.1425,1600.8772,553.1915,756.8922,135.3531,133.5227,124,157.3896,1224.7026,1515.7233
CHCHD2|51142,5507.5594,7186.4035,28316.7849,43011.2782,2522.7508,3528.4091,2932,5138.1958,9088.5824,10301.8868
CHCHD3|54927,790.4968,984.6491,505.9102,423.5589,377.2607,390.625,240,274.4722,1179.2028,987.4214
CHCHD4|131474,384.4492,473.6842,458.6288,478.6967,77.756,89.4886,48,71.0173,303.3319,343.8155
CHCHD5|84269,479.4816,695.1754,2203.3097,2768.1704,786.1997,835.2273,496,867.5624,800.0379,1345.9119
CHCHD6|84303,146.8683,223.6842,229.3144,258.1454,37.4381,73.8636,156,201.5355,189.5824,186.5828
CHCHD7|79145,764.5788,883.7719,437.3522,349.6241,167.0314,122.1591,124,134.357,458.7895,364.7799
CHCHD8|51287,1438.4449,1758.7719,2711.5839,3180.4511,743.002,899.1477,1032,1224.5681,2502.4883,3085.9539
CHD1L|9557,347.7322,394.7368,418.4397,438.5965,290.8651,294.0341,300,280.2303,394.3315,306.0797
CHD1|1105,209.5032,212.7193,196.2175,194.2356,308.1442,264.2045,160,163.1478,113.7495,75.4717
CHD2|1106,90.7127,78.9474,432.6241,304.5113,1399.6083,1338.0682,1672,1545.1056,261.6238,272.5367
CHD3|1107,1375.8099,1631.5789,503.5461,597.7444,3775.4867,4041.1932,7692,8763.9155,326.0818,379.4549
CHD4|1108,2736.4579,3467.0175,1319.9527,1288.6591,4587.3171,4701.0369,4751.72,4829.1747,1192.6632,1358.4277
CHD5|26038,0,4.386,0,1.2531,2.8799,2.8409,4,7.6775,0,0
CHD6|84181,572.3542,554.8246,125.2955,136.5915,976.27,875,620,533.5893,98.5829,109.0147
CHD7|55636,92.8726,87.7193,264.7754,221.8045,783.3199,752.8409,660,650.6718,94.7912,115.304
CHD8|57680,1155.5076,1298.2456,676.1229,607.7694,3787.0061,3620.7386,2588,2788.8676,633.2054,561.8449
CHD9|80205,533.4773,609.6491,425.5319,382.2055,469.416,403.4091,544,500.9597,246.4572,207.5472
CHDH|55349,21.5983,19.7368,0,3.7594,14.3993,18.4659,0,1.9194,7.5833,6.2893
CHEK1|1111,447.0842,561.4035,148.9362,130.3258,123.8337,149.1477,276,230.3263,470.1645,461.2159
CHEK2|11200,146.8683,114.0351,191.4894,171.6792,123.8337,119.3182,224,211.1324,98.5829,92.2432
CHERP|10523,991.2095,1593.9254,635.8629,832.1679,3679.674,5058.9773,4243.32,6369.4434,684.7339,957.7778
CHFR|55743,963.2829,1164.4737,458.6288,521.3033,915.7931,1012.7841,264,307.1017,375.3732,408.805
CHGA|1113,0,2.193,0,0,11.5194,14.2045,24,46.0653,3.7916,0
CHGB|1114,0,0,2.3641,1.2531,83.5157,59.6591,112,111.3244,11.3749,0
CHI3L1|1116,79.9136,94.2982,758.8652,756.8922,884.1147,867.8977,376,426.1036,7791.8385,7964.3606
CHI3L2|1117,21.5983,19.7368,113.4752,105.2632,77.756,78.125,4,3.8388,868.2876,872.1174
CHIA|27159,0,0,0,0,0,0,0,0,0,0
CHIC1|53344,237.581,239.0351,4.7281,5.0125,71.9963,55.3977,76,65.2591,60.6664,35.6394
CHIC2|26511,725.7019,905.7018,761.2293,987.4687,51.8373,86.6477,124,241.8426,595.2889,761.0063
CHID1|66005,1496.7603,1739.0351,612.2931,710.5263,1342.0113,1447.4432,1464,1476.0077,1956.4908,2071.2788
CHIT1|1118,2.1598,0,11.8203,10.0251,207.3494,188.9205,4,1.9194,576.3306,647.7987
CHKA|1119,321.8143,467.1053,68.5579,57.6441,279.3457,272.7273,40,86.3724,212.3323,215.9329
CHKB-CPT1B|386593,34.9244,79.7149,267.3995,211.5414,1665.3611,1728.4091,562.76,595.2783,151.628,119.6646
CHKB|1120,703.7365,718.5307,529.2671,552.8697,136.5338,205.9233,171.84,214.9712,652.2015,825.8281
CHL1|10752,51.8359,54.8246,14.1844,13.7845,129.5934,146.3068,0,0,18.9582,29.3501
CHML|1122,261.3391,317.9825,21.2766,20.0501,40.3179,49.7159,60,63.3397,94.7912,67.086
CHMP1A|5119,1714.9028,1932.0175,3699.7636,3865.9148,3850.3629,4187.5,3340,3481.7658,4955.6851,5020.9644
CHMP1B|57132,2127.4298,2605.2632,2191.4894,2517.5439,910.0334,982.9545,1692,1685.2207,2074.0319,2224.3187
CHMP2A|27243,6248.3801,7967.1053,1834.5154,2186.7168,1077.0649,1286.9318,852,996.1612,2601.0711,2893.0818
CHMP2B|25978,792.6566,1019.7368,971.6312,1109.0226,146.8725,161.9318,180,253.3589,701.455,517.8197
CHMP4A|29082,3124.4492,3498.5746,643.7825,606.6792,603.7035,553.0824,276.8,331.4395,1036.1818,991.3208
CHMP4B|128866,4622.0302,5335.5263,3002.3641,2961.1529,3164.958,3383.5227,2336,2395.3935,3939.5232,4601.6771
CHMP4C|92421,477.3218,554.8246,865.2482,867.1679,63.3568,76.7045,220,207.2937,303.3319,222.2222
CHMP5|51510,1923.0454,2223.8158,2868.9362,2722.1679,623.6033,608.5653,690.96,602.1689,4102.8295,3861.761
CHMP6|79643,580.9935,717.1053,2063.8298,2362.1554,1091.4641,1232.9545,552,834.9328,1145.078,1672.956
CHMP7|91782,632.8294,831.1404,316.7849,312.0301,656.6064,666.1932,620,642.9942,811.4129,809.2243
CHM|1121,196.5443,335.5263,316.7849,303.2581,126.7135,126.4205,188,159.309,208.5407,207.5472
CHN1|1123,645.7883,769.7368,560.2837,537.594,120.9538,102.2727,212,195.7774,640.7887,660.3774
CHN2|1124,159.8272,197.3684,11.8203,5.0125,25.9187,25.5682,0,3.8388,26.5415,27.2537
CHODL|140578,105.8315,109.6491,87.4704,100.2506,5.7597,1.4205,100,94.0499,11.3749,23.0608
CHORDC1|26973,531.3175,559.2105,243.4988,260.6516,279.3457,282.6705,420,343.5701,413.2897,324.9476
CHP2|63928,6.4795,2.193,0,5.0125,14.3993,22.7273,0,0,22.7499,14.6751
CHPF2|54480,1250.54,1815.7895,879.4326,1087.7193,2660.9838,3051.1364,2432,2861.8042,940.3289,1289.3082
CHPF|79586,8542.1166,12252.193,3976.3593,5431.0401,14609.348,18857.8267,6928,8976.9674,3495.9003,5222.2222
CHPT1|56994,343.4125,342.1053,56.7376,65.1629,31.6784,56.8182,56.96,92.1305,155.4576,184.4864
CHP|11261,2958.9633,3436.4035,1803.7825,1817.0426,2741.6196,2481.5341,2600,2347.4088,2070.2403,1704.4025
CHRAC1|54108,1829.3737,2120.614,1113.4752,1017.5439,1264.2553,1400.5682,1332,1353.167,940.3289,928.7212
CHRDL1|91851,4.3197,2.193,2.3641,1.2531,25.9187,21.3068,0,0,18.9582,23.0608
CHRDL2|25884,21.5983,50.4386,7.0922,2.5063,89.2754,80.9659,24,21.1132,45.4998,92.2432
CHRD|8646,97.1922,125,35.461,47.619,190.0703,210.2273,68,136.2764,30.3332,44.0252
CHRFAM7A|89832,0,0,4.7281,6.0276,2.8799,0,0,0,0,2.6834
CHRM1|1128,0,4.386,0,0,0,1.4205,0,0,0,0
CHRM2|1129,0,2.193,0,0,0,0,0,0,0,0
CHRM3|1131,105.8315,118.4211,366.4303,312.0301,2.8799,2.8409,140,136.2764,0,0
CHRM4|1132,2.1598,0,2.3641,0,2.8799,8.5227,8,3.8388,0,4.1929
CHRM5|1133,4.3197,8.7719,4.7281,1.2531,0,4.2614,0,0,11.3749,0
CHRNA10|57053,4.3197,10.9649,7.0922,13.7845,46.0776,34.0909,0,15.3551,0,2.0964
CHRNA1|1134,630.6695,813.5965,14.1844,12.5313,123.8337,113.6364,232,159.309,11.3749,20.9644
CHRNA2|1135,2.1598,2.193,0,1.2531,11.5194,1.4205,0,0,0,0
CHRNA3|1136,4.3197,2.193,2.3641,2.5063,8.6396,5.6818,4,3.8388,3.7916,4.1929
CHRNA4|1137,0,2.193,0,1.2531,0,1.4205,0,0,0,0
CHRNA5|1138,185.7451,245.614,87.4704,80.2005,23.0388,42.6136,68,80.6142,102.3745,90.1468
CHRNA6|8973,0,0,2.3641,0,0,5.6818,0,1.9194,0,0
CHRNA7|1139,12.959,13.1579,0,0.2381,8.6396,28.4091,4,5.7582,15.1666,11.9916
CHRNA9|55584,51.8359,43.8596,11.8203,6.2657,0,0,4,0,7.5833,12.5786
CHRNB1|1140,434.1253,482.6316,215.13,159.1479,322.5435,366.25,272,260.5566,390.5398,293.2914
CHRNB2|1141,2.1598,6.5789,0,0,8.6396,9.9432,0,1.9194,0,0
CHRNB3|1142,0,0,0,0,0,1.4205,0,0,0,0
CHRNB4|1143,8.6393,13.1579,4.7281,5.0125,95.0351,117.8977,0,3.8388,7.5833,10.4822
CHRND|1144,0,0,0,0,184.3106,211.6477,20,51.8234,3.7916,2.0964
CHRNE|1145,8.0994,23.8158,5.8629,3.9348,33.1471,29.858,16.64,21.8234,12.3608,20.1258
CHRNG|1146,0,0,2.3641,1.2531,25.9187,66.7614,48,78.6948,0,2.0964
CHST10|9486,97.1922,78.9474,16.5485,6.2657,31.6784,25.5682,4,15.3551,106.1662,85.9539
CHST11|50515,434.1253,567.9825,122.9314,191.7293,662.3661,748.5795,268,428.023,602.8722,754.717
CHST12|55501,1174.946,1780.7018,572.104,800.7519,601.8892,813.9205,252,401.1516,947.9122,1368.9727
CHST13|166012,15.1188,28.5088,4.7281,3.7594,20.159,15.625,0,1.9194,7.5833,12.5786
CHST14|113189,1030.2376,1100.8772,54.3735,56.391,371.501,375,444,487.524,568.7473,620.5451
CHST15|51363,1557.2354,1767.5439,591.0165,632.8321,1742.3108,1678.9773,320,349.3282,1000.9953,1064.9895
CHST1|8534,622.0302,690.7895,494.0898,604.01,2093.6528,2500,48,69.0979,511.8726,723.2704
CHST2|9435,695.4644,809.2105,5652.4823,7716.792,2891.372,3930.3977,5348,7527.8311,3143.2769,4498.9518
CHST3|9469,1077.7538,1258.7719,255.3191,285.7143,1984.2184,2225.8523,1604,1618.0422,345.04,379.4549
CHST4|10164,0,2.193,11.8203,6.2657,0,1.4205,0,0,0,0
CHST5|23563,2.1598,6.7325,0,0,0,2.8409,4.12,9.8464,3.7916,2.1803
CHST6|4166,6.4795,13.1579,2.3641,3.7594,40.3179,25.5682,20,9.5969,0,2.0964
CHST7|56548,194.3844,192.9825,28.3688,43.8596,227.5084,312.5,24,82.5336,367.7899,536.6876
CHST8|64377,4.3197,4.386,0,0,0,7.1023,0,0,15.1666,20.9644
CHST9|83539,0,6.5789,0,0,0,1.4205,0,0,0,0
CHSY1|22856,1542.1166,1918.8596,555.5556,538.8471,601.8892,680.3977,1108,1120.9213,508.081,419.2872
CHSY3|337876,220.3024,221.4912,16.5485,25.0627,8.6396,12.7841,48,57.5816,34.1248,56.6038
CHTF18|63922,99.3521,175.4386,54.3735,104.01,1992.858,2588.0682,972,1677.5432,94.7912,226.4151
CHTF8|54921,1455.7235,1603.1579,2910.2128,3145.589,1866.1445,1842.429,1776,1676.8522,2930.3758,2608.4486
CHUK|1147,336.933,368.4211,371.1584,305.7644,253.427,223.0114,220,220.7294,360.2066,337.5262
CHURC1|91612,1487.905,1759.386,4812.2222,4240.6892,776.6098,714.1761,447.6,423.9923,1568.8326,1357.044
CIAO1|9391,1293.7365,1353.0702,3075.6501,3105.2632,1486.0039,1403.4091,1068,1023.0326,2775.487,2878.4067
CIAPIN1|57019,2140.3888,2278.5088,3219.8582,3109.0226,1039.6268,903.4091,852,800.3839,3871.2735,3589.0985
CIB1|10519,2237.581,2717.1053,2806.1466,3100.2506,1149.0612,1502.8409,1208,1614.2035,3329.0677,4234.8008
CIB2|10518,168.4665,232.4561,420.8038,404.7619,112.3142,166.1932,28,47.9846,360.2066,465.4088
CIB3|117286,0,0,0,0,0,0,0,1.9194,0,0
CIB4|130106,0,0,0,0,0,0,0,0,0,0
CIC|23152,1183.5853,1625,638.2979,875.9398,7098.8365,8424.7159,10076,13276.3916,530.8308,607.9665
CIDEA|1149,8.6393,8.7719,18.9125,13.7845,5.7597,2.8409,0,0,60.6664,54.5073
CIDEB|27141,1211.7495,1477.2807,856.8794,1195.3885,1337.4899,1209.7869,1505.36,1694.2035,552.2157,581.9078
CIDECP|152302,140.3888,201.5132,63.357,77.6942,123.8337,117.8977,64,97.8887,101.6162,106.6667
CIDEC|63924,6.4795,2.4342,2.8369,7.5188,0,0,0,0,4.55,2.348
CIITA|4261,10.7991,26.3158,40.1891,35.0877,1526.3219,1870.7386,48,57.5816,269.2071,230.608
CILP2|148113,47.5162,30.7018,7.0922,5.0125,23.0388,41.1932,16,34.5489,15.1666,10.4822
CILP|8483,6.4795,10.9649,14.1844,18.797,54.7172,65.3409,28,21.1132,7.5833,8.3857
CINP|51550,961.1231,1092.1053,2479.9054,2482.4561,630.6877,617.8977,480,401.1516,1148.8696,1029.3501
CIR1|9541,853.1317,997.807,319.1489,335.8396,483.8152,485.7955,320,332.0537,553.5807,433.9623
CIRBP|1153,2719.2225,3471.4912,990.5437,1088.9724,2275.0835,2376.4205,636,689.0595,951.7039,1188.6792
CIRH1A|84916,1926.5659,2282.8947,4541.3712,4206.7669,2404.6769,2201.7045,2196,1758.1574,3567.9416,3427.673
CISD1|55847,412.527,543.8596,543.7352,493.7343,146.8725,125,196,174.6641,572.539,578.6164
CISD2|493856,950.324,1201.7544,1158.3924,1208.0201,192.9501,227.2727,420,487.524,947.9122,1037.6939
CISD3|284106,809.5248,1072.2368,1248.7234,1847.2055,350.5069,535.2841,439.36,738.2726,1269.8232,1789.2662
CISH|1154,84.2333,177.6316,241.1348,305.7644,316.7838,350.8523,308,330.1344,398.1231,408.805
CITED1|4435,6.4795,4.386,4.7281,31.3283,2.8799,5.6818,0,9.5969,7.5833,6.2893
CITED2|10370,1671.7063,2355.2632,3241.1348,3724.3108,1558.0002,1872.1591,824,1126.6795,1353.6187,1532.4948
CITED4|163732,2200.8639,3535.0877,10208.0378,16454.8872,10704.4119,15000,2552,4188.0998,7443.0068,17452.8302
CIT|11113,704.1037,831.1404,61.4657,58.8972,676.7653,803.9773,1556,1825.3359,144.0827,94.3396
CIZ1|25792,1380.1296,1717.1053,1191.4894,1627.8195,6177.2837,7532.6705,6256,8850.2879,1543.2011,2272.5367
CKAP2L|150468,196.5443,195.1754,134.7518,115.2882,181.4307,149.1477,300,285.9885,178.2075,138.3648
CKAP2|26586,1321.8143,1767.5439,1692.6714,1736.8421,843.7968,865.0568,580,650.6718,879.6625,687.631
CKAP4|10970,3049.676,3366.2281,4210.4019,4456.1404,6891.4872,7413.3523,3332,3527.8311,5141.4759,5243.1866
CKAP5|9793,3615.5508,3929.8246,1226.9504,1160.401,3605.5754,3416.1932,4224,3746.6411,974.4538,884.696
CKB|1152,15902.8078,22401.3158,1018.9125,1359.6491,1509.0427,1896.3068,18400,26800.3839,1664.5339,2392.0335
CKLF|51192,1045.3564,1276.3158,614.6572,588.9724,97.915,123.5795,272,197.6967,1061.6617,1100.6289
CKMT1A|548596,568.3153,754.0351,1348.4161,2026.2782,1823.2347,2387.017,3119.32,2735.3935,1222.1243,1318.3229
CKMT1B|1159,474.8812,574.9123,5750.8747,5327.1053,5721.979,5247.9261,3732.68,4214.7025,1079.4066,1325.283
CKMT2|1160,0,0,0,0,184.3106,208.8068,20,32.6296,3.7916,4.1929
CKM|1158,17.2786,21.9298,63.8298,53.8847,9474.7149,10866.4773,312,380.0384,644.5803,880.5031
CKS1B|1163,2667.3866,2844.2982,1406.6194,1275.6892,215.9889,221.5909,584,595.0096,2638.9876,2247.3795
CKS2|1164,1315.3348,1414.4737,1605.2009,1542.6065,241.9076,198.8636,532,533.5893,1907.1994,1557.652
CLASP1|23332,736.5011,905.7018,517.7305,511.2782,2203.0872,2267.0455,1912,1819.5777,360.2066,410.9015
CLASP2|23122,531.3175,662.2807,494.0898,431.0777,167.0314,144.8864,208,142.0345,250.2488,230.608
CLCA1|1179,2.1598,0,0,0,0,0,0,0,0,0
CLCA2|9635,37041.0367,43173.2456,55841.6076,51971.1779,22529.0865,21223.0114,14212,13080.6142,14120.1005,12471.6981
CLCA3P|9629,0,0,23.6407,42.6065,5.7597,7.1023,0,0,34.1248,12.5786
CLCA4|22802,377.9698,462.7193,21.2766,23.8095,256.3069,251.4205,0,1.9194,515.6642,415.0943
CLCC1|23155,481.0367,583.136,313.4043,321.1654,186.2977,208.4943,403.44,397.8311,286.0799,242.4528
CLCF1|23529,287.257,368.4211,106.383,137.8446,328.3032,387.7841,796,934.7409,348.8317,320.7547
CLCN1|1180,6.4795,15.3509,11.8203,15.0376,40.3179,19.8864,4,3.8388,11.3749,10.4822
CLCN2|1181,34.5572,57.0175,30.7329,40.1003,215.9889,240.0568,260,287.9079,22.7499,12.5786
CLCN3|1182,814.2549,923.2456,839.2435,765.6642,328.3032,329.5455,496,429.9424,390.5398,335.4298
CLCN4|1183,15.1188,26.3158,7.0922,5.0125,28.7985,55.3977,4,3.8388,3.7916,12.5786
CLCN5|1184,194.3844,230.2632,174.9409,172.9323,120.9538,93.75,108,72.9367,64.458,73.3753
CLCN6|1185,226.7819,298.2456,49.6454,71.4286,1030.9872,982.9545,488,393.4741,49.2914,62.8931
CLCN7|1186,734.3413,918.8596,1224.5863,1388.4712,6914.526,7311.0795,3928,4806.142,1114.7448,1538.7841
CLCNKA|1187,0,0,0,0,0,0,0,0,0,2.0964
CLCNKB|1188,0,2.193,0,0,0,0,0,3.8388,0,0
CLC|1178,0,0,2.3641,1.2531,0,0,0,0,0,2.0964
CLDN10|9071,0,4.386,0,0,0,0,0,0,0,2.0964
CLDN11|5010,10.7991,10.9649,18.9125,13.7845,20.159,9.9432,16,15.3551,30.3332,27.2537
CLDN12|9069,474.5788,648.1798,900.7092,963.6591,349.4701,318.1818,388,332.1113,685.5301,488.4696
CLDN14|23562,4.3197,4.386,4.7281,2.5063,11.5194,11.3636,208,316.6987,0,8.3857
CLDN15|24146,23.7581,41.6667,11.8203,26.3158,319.6636,338.0682,228,211.1324,60.6664,100.6289
CLDN16|10686,0,2.193,21.2766,15.0376,0,14.2045,0,0,0,0
CLDN17|26285,12.959,6.5789,70.922,83.9599,8.6396,12.7841,4,5.7582,121.3328,161.4256
CLDN18|51208,0,2.193,0,0,0,2.8409,0,5.7582,0,0
CLDN19|149461,0,0,0,0,8.6396,5.6818,16,23.0326,0,0
CLDN1|9076,2911.4471,3304.8246,33.0969,35.0877,5183.7346,4707.3864,116,109.405,2005.7823,1815.5136
CLDN20|49861,0,6.5789,0,0,0,5.6818,0,0,0,0
CLDN22|53842,0,0,0,0,4.9245,4.4886,0,1.9194,0,0
CLDN23|137075,144.7084,157.8947,33.0969,36.3409,190.0703,244.3182,4,19.1939,90.9996,167.7149
CLDN25|644672,0,0,0,0,0,0,0,0,0,0
CLDN2|9075,0,2.193,0,0,11.5194,4.2614,4,3.8388,0,0
CLDN3|1365,4.3197,8.7719,0,2.5063,187.1904,244.3182,0,0,15.1666,6.2893
CLDN4|1364,622.0302,870.614,4236.4066,5451.1278,5255.7309,6394.8864,744,915.547,4781.2693,6593.2914
CLDN5|7122,745.1404,1173.2456,163.1206,195.4887,408.9391,612.2159,60,80.6142,3924.3566,6612.1593
CLDN6|9074,10.7991,6.5789,0,0,2.8799,0,8,1.9194,0,0
CLDN7|1366,570.1944,743.4211,293.1442,295.7393,1727.9115,1803.9773,1232,1099.8081,2195.3647,2222.2222
CLDN8|9073,4.3197,2.193,2.3641,1.2531,20.159,17.0455,0,0,0,0
CLDN9|9080,12.959,15.3509,9.4563,8.7719,5.7597,8.5227,4,1.9194,3.7916,18.8679
CLDND1|56650,1222.4622,1517.5439,2475.1773,2300.7519,550.0518,509.9432,1352,1272.5528,1675.9088,1501.0482
CLDND2|125875,2.1598,0,0,2.5063,0,4.2614,0,3.8388,0,0
CLEC10A|10462,8.6393,24.1228,16.5485,30.0752,120.9538,134.9432,0,0,216.124,241.0901
CLEC11A|6320,874.73,1225.8772,312.0567,513.7845,259.1867,397.7273,620,748.5605,371.5816,685.5346
CLEC12A|160364,127.4298,116.2281,47.2813,27.5689,11.5194,19.8864,64,17.2745,34.1248,50.3145
CLEC12B|387837,4.3197,4.386,0,0,8.6396,7.1023,20,9.5969,0,2.0964
CLEC14A|161198,313.1749,326.7544,281.3239,370.9273,218.8688,301.1364,148,147.7927,925.1623,870.021
CLEC16A|23274,205.1836,287.2807,342.7896,338.3459,1506.1629,1680.3977,988,1153.5509,314.7069,310.2725
CLEC17A|388512,0,0,4.7281,10.0251,8.6396,7.1023,0,1.9194,3.7916,4.1929
CLEC18A|348174,4.7732,8.7719,7.0922,8.584,47.172,41.0085,53.96,63.5317,1.8958,4.7589
CLEC18B|497190,6.0259,2.193,0,6.4536,39.2236,56.5199,19.68,64.4914,0,1.5304
CLEC18C|283971,0,0,0,0,0,13.2528,10.32,17.8503,1.8958,0
CLEC1A|51267,34.5572,46.0526,68.5579,72.6817,92.1553,82.3864,64,38.3877,102.3745,119.4969
CLEC1B|51266,0,0,0,0,0,0,4,0,0,0
CLEC2A|387836,0,0,0,2.5063,0,1.4205,4,0,0,0
CLEC2B|9976,2028.0778,2331.1404,2082.7423,1854.6366,604.769,553.9773,144,101.7274,944.1206,779.8742
CLEC2D|29121,611.2311,721.4912,801.4184,857.1429,604.769,578.125,252,140.1152,1175.4112,752.6205
CLEC2L|154790,123.1102,171.0526,82.7423,100.2506,2.8799,0,4,0,0,4.1929
CLEC3A|10143,0,4.386,0,0,0,0,0,0,0,0
CLEC3B|7123,127.4298,219.2982,120.5674,182.9574,51.8373,83.8068,24,24.952,667.3302,1102.7254
CLEC4A|50856,23.7581,32.8947,35.461,23.8095,11.5194,29.8295,0,0,159.2493,136.2683
CLEC4C|170482,2.1598,4.386,0,0,2.8799,5.6818,0,0,7.5833,2.0964
CLEC4D|338339,4.3197,2.193,0,1.2531,2.8799,2.8409,0,0,11.3749,10.4822
CLEC4E|26253,0,2.193,23.6407,11.2782,14.3993,19.8864,20,13.4357,272.9987,167.7149
CLEC4F|165530,0,0,0,1.2531,23.0388,15.625,0,0,3.7916,0
CLEC4GP1|440508,0,0,0,0,11.5194,15.625,0,0,0,0
CLEC4G|339390,2.1598,2.193,56.7376,93.985,8.6396,4.2614,0,5.7582,22.7499,20.9644
CLEC4M|10332,0,8.7719,2.3641,0,2.8799,17.0455,0,0,26.5415,14.6751
CLEC5A|23601,28.0778,48.2456,21.2766,16.2907,43.1978,36.9318,12,13.4357,37.9165,27.2537
CLEC6A|93978,0,0,0,0,0,0,0,0,0,4.1929
CLEC7A|64581,600.432,657.8947,1565.0118,1433.584,1529.2017,1428.9773,776,669.8656,591.4972,509.434
CLEC9A|283420,0,2.193,9.4563,6.2657,14.3993,14.2045,0,0,53.0831,35.6394
CLECL1|160365,2.1598,2.193,0,3.7594,5.7597,2.8409,0,0,30.3332,23.0608
CLGN|1047,4.3197,15.3509,0,0,5.7597,0,0,0,3.7916,2.0964
CLIC1|1192,15544.2765,16717.1053,15271.8676,14389.7243,1733.6712,1779.8295,4692,4414.5873,19178.1601,18333.3333
CLIC2|1193,384.4492,445.1754,229.3144,199.2481,69.1165,75.2841,100,107.4856,511.8726,387.8407
CLIC3|9022,1421.1663,2232.4561,9319.1489,12695.4887,3746.6882,4926.1364,1108,1633.3973,3378.3592,6358.4906
CLIC4|25932,5133.9093,6151.3158,2981.0875,2919.7995,1039.6268,1126.4205,2400,2165.0672,2096.7818,1926.6247
CLIC5|53405,10.7991,4.386,4.7281,2.5063,146.8725,142.0455,12,7.6775,49.2914,33.543
