"","Estimate","Std. Error","t value","Pr(>|t|)","PAdj"
"BX646845",-0.000508866045541356,0.000249094361841502,-2.04286456658198,0.0412094808530546,0.232853206396626
"PNPT1",0.000620973026380927,0.000464659929074562,1.33640322206756,0.181584378941163,0.480667638497518
"POLQ",-0.000131170422920181,0.00113785584061661,-0.115278595264844,0.90823700650342,0.96810810439068
"PDIA4",-0.00212130835208286,0.000884674203460258,-2.3978413112824,0.0165920923463299,0.147291842001955
"SPTA1",-0.000475255544426835,0.000280232894803262,-1.69593061071752,0.0900698576315874,0.34246310640985
"LOC100128496",-8.78807317575509e-05,0.000233682803564509,-0.376068458684385,0.706909785106219,0.88342877293545
"AX746564",0.000598183883921825,0.000963753884088239,0.620681165386678,0.53488705436585,0.788370395015244
"DKFZp451A211",6.47024570015866e-05,0.000294028769183596,0.220054851031212,0.825853088647778,0.935756908033528
"CD84",0.00052354552614536,0.00095941005057952,0.545695269534772,0.585342225132766,0.817364064731296
"KBTBD10",-0.00046926768485279,0.000395861016425112,-1.1854354568444,0.235999901828103,0.547787831717106
"FAM53A",-0.000684817675600785,0.000594631690165766,-1.1516669678501,0.249609048387843,0.561787502642926
"AI801042",0.000225213976023179,0.000240260212323592,0.937375247632981,0.348689801973463,0.65305303931207
"DCAF8L2",-6.61253704247396e-05,0.000230905553430356,-0.286374101628888,0.774624166277436,0.914802834343732
"C3orf58",-0.00104545606770231,0.00118037329640923,-0.885699524788179,0.375896340982272,0.675554394649754
"SLTM",0.000208377246837769,0.000758213008949676,0.2748267892771,0.783480474221777,0.918274839874766
"PLXNB3",0.000564374907888601,0.000643516909480465,0.877016438222644,0.380593329198121,0.679891641014598
"IGF2AS",0.000103111466882787,0.000310080678024425,0.332531093326186,0.739526518385946,0.899425936652995
"CTDP1",0.000166578188497321,0.000590384047990713,0.282152251681335,0.77785881425571,0.916009564428628
"AB074178",6.41032346948512e-05,0.000251243963372743,0.255143382687958,0.798641154546732,0.925103852808153
"PRPS1L1",-0.000418329599778745,0.000231549689157175,-1.80665152823757,0.0709815523804735,0.30684754259576
"RREB1",0.00235706882762892,0.000614054789090276,3.83853178821539,0.00012799757799179,0.0126121141742569
"KCNH2",6.95827393913569e-05,0.000691178217280267,0.100672645132191,0.919821403273772,0.972884094074351
"BM931541",-0.000480417033482347,0.00025584108988006,-1.87779466428778,0.0605688747514951,0.283357574367663
"BM668830",0.000526981178579053,0.000239456458990207,2.20073904375494,0.0278795605096145,0.192129278987072
"WHSC2",0.000529535623821433,0.000459329136177057,1.15284570935059,0.249124942199208,0.561060683134038
"OR5R1",0.000283849959404613,0.000245026512978899,1.15844590021594,0.246833933520316,0.559231127070646
"AX747706",0.000417801555118906,0.000753663395505211,0.554360948947026,0.579399881156583,0.813518552376672
"TAS2R13",0.000222882780925704,0.00021833722377847,1.0208189747427,0.307475734260496,0.618426016839543
"RAB19",0.000172108419925109,0.000248351131390998,0.69300437232213,0.488395130512596,0.759477905615736
"TRMT6",-0.00113890810877934,0.000448884201997007,-2.53719802058648,0.0112571442393301,0.120949775495589
"DTWD1",-0.000481489392214624,0.000845927924370269,-0.569184889567343,0.569300831617365,0.807938614828977
"AW103122",0.000421265424361244,0.000256073214868424,1.64509757327684,0.100122183927194,0.360753715501679
"CARKD",0.00068389037497333,0.000867584634709142,0.788269348733458,0.430641716441439,0.717431964602789
"UROC1",2.31159050436261e-05,0.000292127956683425,0.0791293832540529,0.93693840174485,0.977745659079073
"VEGFB",0.00162375601824145,0.00085200430340674,1.90580729668718,0.0568324481348315,0.275655472959708
"RAB41",-0.000145729658718572,0.000263957455071755,-0.55209525595311,0.580950804033819,0.814862671541824
"ABCA1",-0.00112831430768347,0.00101570383200867,-1.11086940122308,0.266771141199096,0.579538126837797
